Name,Certificate,Runtime,Genre,Rating,Metascore,Votes
Captain Marvel(2019),PG-13,124 min,"Action, Adventure, Sci-Fi",7.1,64,"128,085"
Alita: Battle Angel(2019),PG-13,122 min,"Action, Adventure, Romance",7.6,54,"71,896"
Spider-Man: Into the Spider-Verse(2018),PG,117 min,"Animation, Action, Adventure",8.6,87,"142,907"
Aquaman(2018),PG-13,143 min,"Action, Adventure, Fantasy",7.3,55,"191,868"
How to Train Your Dragon: The Hidden World(2019),PG,104 min,"Animation, Action, Adventure",7.9,71,"27,529"
Avengers: Infinity War(2018),PG-13,149 min,"Action, Adventure, Fantasy",8.5,68,"600,957"
Mortal Engines(2018),PG-13,128 min,"Action, Adventure, Fantasy",6.2,44,"49,864"
Black Panther(2018),PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,88,"477,589"
Overlord(2018),R,110 min,"Action, Adventure, Horror",6.8,60,"44,088"
Polar(2019),,118 min,"Action, Crime, Drama",6.3,19,"45,655"
Deadpool 2(2018),R,119 min,"Action, Adventure, Comedy",7.8,66,"359,301"
Robin Hood(I) (2018),PG-13,116 min,"Action, Adventure, Thriller",5.3,32,"32,642"
The Fifth Element(1997),PG-13,126 min,"Action, Adventure, Sci-Fi",7.7,52,"397,840"
Suicide Squad(2016),PG-13,123 min,"Action, Adventure, Fantasy",6.1,40,"519,538"
Buffy the Vampire Slayer(1992),PG-13,86 min,"Action, Comedy, Fantasy",5.6,48,"36,616"
Skyscraper(2018),PG-13,102 min,"Action, Adventure, Thriller",5.8,51,"72,882"
Solo: A Star Wars Story(2018),PG-13,135 min,"Action, Adventure, Fantasy",7.0,62,"210,685"
Venom(2018),PG-13,112 min,"Action, Sci-Fi, Thriller",6.8,35,"245,133"
Incredibles 2(2018),PG,118 min,"Animation, Action, Adventure",7.7,80,"185,851"
Thor: Ragnarok(2017),PG-13,130 min,"Action, Adventure, Comedy",7.9,74,"441,525"
Wonder Woman(2017),PG-13,141 min,"Action, Adventure, Fantasy",7.5,76,"470,550"
Ocean's Eight(2018),PG-13,110 min,"Action, Comedy, Crime",6.2,61,"132,191"
Scott Pilgrim vs. the World(2010),PG-13,112 min,"Action, Comedy, Fantasy",7.5,69,"333,740"
Ready Player One(2018),PG-13,140 min,"Action, Adventure, Sci-Fi",7.5,64,"285,866"
Guardians of the Galaxy(2014),PG-13,121 min,"Action, Adventure, Comedy",8.1,76,"916,914"
Ant-Man and the Wasp(2018),PG-13,118 min,"Action, Adventure, Comedy",7.1,70,"206,320"
Hunter Killer(2018),R,122 min,"Action, Thriller",6.6,43,"27,822"
Independence Day: Resurgence(2016),PG-13,120 min,"Action, Adventure, Sci-Fi",5.2,32,"152,837"
Kong: Skull Island(2017),PG-13,118 min,"Action, Adventure, Fantasy",6.6,62,"229,255"
Jurassic World: Fallen Kingdom(2018),PG-13,128 min,"Action, Adventure, Sci-Fi",6.2,51,"202,842"
The Dark Knight(2008),PG-13,152 min,"Action, Crime, Drama",9.0,84,"2,029,210"
X-Men: Apocalypse(2016),PG-13,144 min,"Action, Adventure, Sci-Fi",7.0,52,"345,696"
Baywatch(2017),R,116 min,"Action, Comedy, Crime",5.6,37,"130,133"
Bumblebee(2018),PG-13,114 min,"Action, Adventure, Sci-Fi",7.1,66,"55,354"
Layer Cake(2004),R,105 min,"Action, Crime, Drama",7.3,73,"151,096"
Spider-Man: Homecoming(2017),PG-13,133 min,"Action, Adventure, Sci-Fi",7.5,73,"397,641"
Mission: Impossible - Fallout(2018),PG-13,147 min,"Action, Adventure, Thriller",7.8,86,"219,579"
Inception(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,74,"1,808,333"
Justice League(2017),PG-13,120 min,"Action, Adventure, Fantasy",6.5,45,"316,762"
John Wick(2014),R,101 min,"Action, Crime, Thriller",7.3,68,"421,576"
Watchmen(2009),R,162 min,"Action, Drama, Mystery",7.6,56,"449,961"
Jumanji: Welcome to the Jungle(2017),PG-13,119 min,"Action, Adventure, Comedy",7.0,58,"233,088"
John Wick: Chapter 2(2017),R,122 min,"Action, Crime, Thriller",7.5,75,"263,820"
The Avengers(2012),PG-13,143 min,"Action, Adventure, Sci-Fi",8.1,69,"1,154,991"
How to Train Your Dragon(2010),PG,98 min,"Animation, Action, Adventure",8.1,74,"600,175"
Mad Max: Fury Road(2015),R,120 min,"Action, Adventure, Sci-Fi",8.1,90,"766,270"
Hellboy(2004),PG-13,122 min,"Action, Fantasy, Horror",6.9,72,"282,245"
The Mummy(1999),PG-13,124 min,"Action, Adventure, Fantasy",7.0,48,"363,335"
The Matrix(1999),R,136 min,"Action, Sci-Fi",8.7,73,"1,481,605"
Captain America: Civil War(2016),PG-13,147 min,"Action, Adventure, Sci-Fi",7.8,75,"555,660"
The Revenant(2015),R,156 min,"Action, Adventure, Biography",8.0,76,"607,081"
Guardians of the Galaxy Vol. 2(2017),PG-13,136 min,"Action, Adventure, Comedy",7.7,67,"452,753"
The Dark Knight Rises(2012),PG-13,164 min,"Action, Thriller",8.4,78,"1,366,664"
How to Train Your Dragon 2(2014),PG,102 min,"Animation, Action, Adventure",7.8,76,"270,945"
The Predator(2018),R,107 min,"Action, Adventure, Sci-Fi",5.4,48,"86,230"
Captain America: The First Avenger(2011),PG-13,124 min,"Action, Adventure, Sci-Fi",6.9,66,"642,279"
Upgrade(2018),R,100 min,"Action, Sci-Fi, Thriller",7.6,67,"94,737"
Star Wars: Episode VIII - The Last Jedi(2017),PG-13,152 min,"Action, Adventure, Fantasy",7.2,85,"448,944"
Avatar(2009),PG-13,162 min,"Action, Adventure, Fantasy",7.8,83,"1,030,355"
Avengers: Age of Ultron(2015),PG-13,141 min,"Action, Adventure, Sci-Fi",7.4,66,"635,542"
Red Sparrow(2018),R,140 min,"Action, Drama, Thriller",6.6,53,"130,349"
The Meg(2018),PG-13,113 min,"Action, Horror, Sci-Fi",5.7,46,"100,309"
Peppermint(2018),R,101 min,"Action, Crime, Drama",6.5,29,"31,162"
Den of Thieves(2018),R,140 min,"Action, Crime, Drama",7.0,49,"65,662"
Iron Man(2008),PG-13,126 min,"Action, Adventure, Sci-Fi",7.9,79,"838,322"
The Man from U.N.C.L.E.(2015),PG-13,116 min,"Action, Adventure, Comedy",7.3,56,"236,964"
Deadpool(2016),R,108 min,"Action, Adventure, Comedy",8.0,65,"802,318"
The Mummy(2017),PG-13,110 min,"Action, Adventure, Fantasy",5.5,34,"149,433"
Casino Royale(2006),PG-13,144 min,"Action, Adventure, Thriller",8.0,80,"534,376"
American Sniper(2014),R,133 min,"Action, Biography, Drama",7.3,72,"396,693"
Logan(2017),R,137 min,"Action, Drama, Sci-Fi",8.1,77,"541,380"
Game Night(I) (2018),R,100 min,"Action, Comedy, Crime",7.0,66,"153,237"
Sicario: Day of the Soldado(2018),R,122 min,"Action, Crime, Drama",7.1,61,"86,429"
Dunkirk(2017),PG-13,106 min,"Action, Drama, History",7.9,94,"452,691"
Rampage(2018),PG-13,107 min,"Action, Adventure, Sci-Fi",6.1,45,"109,172"
The First Purge(2018),R,98 min,"Action, Horror, Sci-Fi",5.1,54,"37,136"
Thor(2011),PG-13,115 min,"Action, Adventure, Fantasy",7.0,57,"662,544"
Doctor Strange(2016),PG-13,115 min,"Action, Adventure, Fantasy",7.5,72,"487,353"
Death Wish(2018),R,107 min,"Action, Crime, Drama",6.4,31,"46,510"
The Equalizer(2014),R,132 min,"Action, Crime, Thriller",7.2,57,"296,817"
Batman v Superman: Dawn of Justice(2016),PG-13,151 min,"Action, Adventure, Fantasy",6.5,44,"566,584"
Mandy(I) (2018),,121 min,"Action, Fantasy, Horror",6.6,81,"39,331"
X-Men: Days of Future Past(2014),PG-13,132 min,"Action, Adventure, Sci-Fi",8.0,75,"610,154"
21 Jump Street(2012),R,109 min,"Action, Comedy, Crime",7.2,69,"472,540"
Baby Driver(2017),R,112 min,"Action, Crime, Drama",7.6,86,"350,065"
Top Gun(1986),,110 min,"Action, Drama",6.9,50,"258,480"
Mile 22(2018),R,94 min,"Action, Adventure, Thriller",6.1,38,"43,137"
The Hunger Games(2012),PG-13,142 min,"Action, Adventure, Sci-Fi",7.2,68,"788,387"
Thor: The Dark World(2013),PG-13,112 min,"Action, Adventure, Fantasy",7.0,54,"523,652"
Ant-Man(2015),PG-13,117 min,"Action, Adventure, Comedy",7.3,64,"478,953"
