Name,Certificate,Runtime,Genre,Rating,Metascore,Votes
Captain Marvel(2019),PG-13,123 min,"Action, Adventure, Sci-Fi",7.1,64,"138,904"
Bohemian Rhapsody(2018),PG-13,134 min,"Biography, Drama, Music",8.1,49,"298,507"
Green Book(2018),PG-13,130 min,"Biography, Comedy, Drama",8.3,69,"138,886"
Alita: Battle Angel(2019),PG-13,122 min,"Action, Adventure, Romance",7.6,54,"72,938"
A Star Is Born(2018),R,136 min,"Drama, Music, Romance",7.8,88,"215,338"
Spider-Man: Into the Spider-Verse(2018),PG,117 min,"Animation, Action, Adventure",8.6,87,"144,777"
Aquaman(2018),PG-13,143 min,"Action, Adventure, Fantasy",7.3,55,"193,669"
The Favourite(2018),R,119 min,"Biography, Comedy, Drama",7.7,90,"91,677"
How to Train Your Dragon: The Hidden World(2019),PG,104 min,"Animation, Action, Adventure",7.9,71,"28,034"
Instant Family(2018),PG-13,118 min,"Comedy, Drama",7.4,57,"28,573"
BlacKkKlansman(2018),R,135 min,"Biography, Crime, Drama",7.5,83,"125,797"
Ralph Breaks the Internet(2018),PG,111 min,"Animation, Adventure, Comedy",7.2,71,"66,578"
Avengers: Infinity War(2018),PG-13,149 min,"Action, Adventure, Fantasy",8.5,68,"602,012"
Roma(2018),R,135 min,Drama,7.8,96,"95,279"
Fantastic Beasts: The Crimes of Grindelwald(2018),PG-13,134 min,"Adventure, Family, Fantasy",6.7,52,"137,069"
Mortal Engines(2018),PG-13,128 min,"Action, Adventure, Fantasy",6.2,44,"50,390"
Creed II(2018),PG-13,130 min,"Drama, Sport",7.3,66,"56,057"
Black Panther(2018),PG-13,134 min,"Action, Adventure, Sci-Fi",7.3,88,"478,471"
Overlord(2018),R,110 min,"Action, Adventure, Horror",6.8,60,"44,471"
Polar(2019),Not Rated,118 min,"Action, Crime, Drama",6.3,19,"45,912"
Deadpool 2(2018),R,119 min,"Action, Adventure, Comedy",7.8,66,"359,880"
Robin Hood(I) (2018),PG-13,116 min,"Action, Adventure, Thriller",5.3,32,"32,880"
Mary Poppins Returns(2018),PG,130 min,"Comedy, Family, Fantasy",7.1,66,"37,345"
Vice(I) (2018),R,132 min,"Biography, Comedy, Drama",7.2,61,"46,325"
The Fifth Element(1997),PG-13,126 min,"Action, Adventure, Sci-Fi",7.7,52,"397,982"
Widows(2018),R,129 min,"Crime, Drama, Thriller",7.0,84,"50,946"
The House That Jack Built(2018),R,152 min,"Crime, Drama, Horror",6.9,42,"28,878"
First Man(2018),PG-13,141 min,"Biography, Drama, History",7.4,84,"105,486"
Get Out(I) (2017),R,104 min,"Horror, Mystery, Thriller",7.7,84,"375,484"
Hereditary(2018),R,127 min,"Drama, Horror, Mystery",7.3,87,"137,106"
Glass(2019),PG-13,129 min,"Drama, Sci-Fi, Thriller",7.0,42,"71,589"
The Greatest Showman(2017),PG,105 min,"Biography, Drama, Musical",7.6,48,"192,121"
The Ballad of Buster Scruggs(2018),R,133 min,"Comedy, Drama, Musical",7.3,79,"77,980"
Suicide Squad(2016),PG-13,123 min,"Action, Adventure, Fantasy",6.1,40,"519,792"
Room(I) (2015),R,118 min,"Drama, Thriller",8.2,86,"307,533"
Buffy the Vampire Slayer(1992),PG-13,86 min,"Action, Comedy, Fantasy",5.6,48,"36,649"
Skyscraper(2018),PG-13,102 min,"Action, Adventure, Thriller",5.8,51,"73,049"
Bird Box(2018),R,124 min,"Drama, Horror, Sci-Fi",6.7,51,"196,619"
Solo: A Star Wars Story(2018),PG-13,135 min,"Action, Adventure, Fantasy",7.0,62,"211,011"
Venom(2018),PG-13,112 min,"Action, Sci-Fi, Thriller",6.8,35,"245,745"
Incredibles 2(2018),PG,118 min,"Animation, Action, Adventure",7.7,80,"186,253"
Thor: Ragnarok(2017),PG-13,130 min,"Action, Adventure, Comedy",7.9,74,"442,200"
Wonder Woman(2017),PG-13,141 min,"Action, Adventure, Fantasy",7.5,76,"470,905"
Ocean's Eight(2018),PG-13,110 min,"Action, Comedy, Crime",6.2,61,"132,425"
Scott Pilgrim vs. the World(2010),PG-13,112 min,"Action, Comedy, Fantasy",7.5,69,"333,891"
Ready Player One(2018),PG-13,140 min,"Action, Adventure, Sci-Fi",7.5,64,"286,260"
Suspiria(I) (2018),R,152 min,"Fantasy, Horror, Mystery",6.9,64,"28,073"
Crazy Rich Asians(2018),PG-13,120 min,"Comedy, Romance",7.0,74,"83,235"
A Quiet Place(2018),PG-13,90 min,"Drama, Horror, Mystery",7.6,82,"283,648"
Guardians of the Galaxy(2014),PG-13,121 min,"Action, Adventure, Comedy",8.1,76,"917,364"
